Date,USD,EUR,GBP,NZD,AUD
2015-11-03,0.8439571536695833,-1.1259248137558187,2.55028216404245,8.012556743870181,3.578530571505345
2015-11-04,1.0195398760587615,-1.5867127360603916,2.7799864366315763,5.766334791882799,3.6080003074287825
2015-11-05,1.383174203304982,-1.4167841318171503,3.1580335985990082,4.507414725158254,3.22361796517443
2015-11-06,1.5640001023866201,-1.2489025328580317,2.032267459811199,4.863516590523309,3.1059781276230547
2015-11-09,2.6616668701171964,-1.8300687223495316,1.7571262599302973,4.032157477616294,2.5733591317365967
2015-11-10,2.1577473795610036,-1.8292443536599423,1.9247418801989769,2.8175166805535223,1.6289691313970733
2015-11-11,2.386454531169857,-2.4672331767168543,1.7472309743506331,2.4460057776960475,0.721667107318491
2015-11-12,2.347204564531946,-1.9881364049682548,1.7302820628766424,1.546519995303508,0.5050938494193247
2015-11-13,2.206394061485706,-2.101370044022066,1.4347292324806915,0.3526653507032407,0.35577105267674547
2015-11-16,1.7826429824984835,-4.16406531547262,1.1192498286160202,-0.3889551350989895,-0.9797227412976395
2015-11-17,2.6927069197085762,-3.363070493200415,1.7765969335189258,-0.7182028915821648,-0.8385745686388613
2015-11-18,3.088311349544992,-3.640889974435879,2.811435245912053,0.38297376634011115,1.4596774079774777
2015-11-19,3.9505135972030203,-3.340354578867377,2.339341412199314,-0.9319775581524081,1.015919889384076
2015-11-20,3.206194697749587,-2.5964182094384447,1.998588284417635,-0.9985211605600619,1.2930126383766893
2015-11-23,3.086212991533399,-3.4767894525916554,1.439909395754757,-0.7468622283220094,2.620629708921274
2015-11-24,2.899203058066546,-3.390954726059303,0.5815037547935997,-1.6083401558469435,1.871822442159421
2015-11-25,2.2705465689536686,-4.1279400096220105,-0.14378728093327187,-0.7132304921148025,2.087427630530625
2015-11-26,2.3477219356502266,-4.166594666189704,0.35600153552133307,0.127857424008182,2.908173847043205
2015-11-27,1.4393232463846939,-2.91178130433124,-0.43231895787263497,-1.7823391363130936,1.550020500276772
2015-11-30,1.241403850317857,-2.7478763986442445,-0.581427634484355,-2.113617299682713,0.7192657942148628
2015-12-01,1.8543748623382594,-2.6442703938474366,-0.12707852180711132,-0.9507542303662353,1.6161774903629578
2015-12-02,2.0237096898604756,-1.7393894762339102,0.4586222901368231,0.4693724671221311,3.8202871703122865
2015-12-03,1.9366502539912567,-0.9732295425217918,-0.21401905411960742,1.4237944468972419,4.943438382607512
2015-12-04,1.3252224425824188,0.6729088617716927,0.1068032967544763,0.9604469499918444,4.74358921918574
2015-12-07,2.2271994526031236,0.9123890973241844,0.037626209361163454,1.6392908965867203,5.1785970754608
2015-12-08,2.0661585540300287,0.39912948483049604,-0.4031110406001348,0.2611222720611872,3.467620982957076
2015-12-09,1.5279141444864308,0.873957431966299,-1.1624926227404297,1.180404006940905,2.0411457682552925
2015-12-10,0.13495063999537926,1.5454728625840852,-1.209777422400915,2.198353971897604,1.5026598576095118
2015-12-11,0.006576469767338722,0.5866735854256344,-0.30368338234899594,2.346957821410367,1.7711339500610324
2015-12-14,-1.8750893339090302,0.43048682530224536,-0.9437421456309436,0.8310749448821708,-0.1153451461711752
2015-12-15,-1.5676688132689076,0.5506155182160244,-1.3148341235959315,2.0738778921247425,1.3007360887599795
2015-12-16,-1.152011392925334,0.6530359451499601,-1.7440687067744376,2.150579781153028,1.068411034686978
2015-12-17,-0.21507998945577977,0.8000354791112052,-1.8507062848996947,2.98999049206774,1.681727706691305
2015-12-18,-0.09382219470985831,0.199245490575084,-2.098351106433416,2.2356237932596335,-0.17725490469800986
2015-12-21,-0.8241986690527447,0.750398951148501,-2.860097423141994,2.18768127116471,0.02301457993827416
2015-12-22,-1.665586052432133,0.4076849062404575,-3.6566519172371525,2.748434422490642,-0.2299554054445596
2015-12-23,-1.9547974452653882,0.8555541798714872,-4.519800403612361,3.0258286665780343,-0.3405934639704955
2015-12-24,-2.0839722613068656,0.09255433645718458,-4.425608334769082,2.4466911432240224,-0.49830319992070216
2015-12-25,-2.095203047735106,0.06143981450454916,-4.5049253317465565,1.6809900995909066,-1.0230171741245409
2015-12-28,-2.1753953884741106,0.8182986916253077,-3.8941583252390166,2.2761216372186865,-1.4322339268738826
2015-12-29,-2.1229009856685077,1.0185827704391803,-3.611919613739445,3.034319118614115,-1.1887275331049052
2015-12-30,-1.62102605471095,0.9924309919149055,-3.3155781905382042,2.9854496007635234,-1.136596229862319
2015-12-31,-1.8137404101606913,1.0742739547285218,-3.784572788057672,2.170876348923234,-1.4388475634778741
2016-01-01,-1.909806158127858,0.41514950203527246,-4.263651968748039,2.041672088407087,-1.1987262822125144
2016-01-04,-2.037940366609736,0.42771184959491393,-4.01256497296888,2.521213896429364,-0.6687870767640547
2016-01-05,-3.0243490398543127,-0.7103168837499285,-5.232653133757226,-0.8737374671518694,-3.699510806931361
2016-01-06,-3.0998332718810473,-1.9684851707910012,-5.709352960144165,-2.6944933923779613,-5.233384594474122
2016-01-07,-3.7420873359482187,-2.240918015430804,-5.80116514281761,-3.8143431015634444,-6.713043230551696
2016-01-08,-4.16666718508063,-4.1001287842847844,-7.408484717739383,-4.954387332710153,-8.31200733549241
2016-01-11,-4.968587906176669,-4.490147165036906,-8.660618897058391,-7.982199767410103,-10.177989102914664
2016-01-12,-4.557180175851028,-4.354212896721698,-7.775890179615697,-5.6931127413962335,-8.13258216641538
2016-01-13,-4.147888237841979,-4.578383211115233,-7.808713452933114,-5.586870731769111,-7.316471030927207
2016-01-14,-3.5261443323607478,-4.653897845637134,-8.404344930868568,-6.988514227161069,-7.499770509654069
2016-01-15,-2.859422753063967,-3.650357714484942,-7.58274095646434,-6.745740504352771,-6.5340691832374675
2016-01-18,-3.2047255743125502,-3.7703849015170543,-9.08635675802124,-7.15192173946474,-7.339918838291548
2016-01-19,-3.0738106739838122,-3.956371235347911,-8.871100659963282,-7.767639367924783,-8.156134403030357
2016-01-20,-3.3787838856118024,-3.5755185327812855,-8.949408492653498,-8.696977558276831,-7.25824137827119
2016-01-21,-4.305159578742268,-4.307800466733768,-9.260043996632895,-8.495889299727644,-7.7934594858074195
2016-01-22,-3.6993170646852813,-3.5492547088066373,-8.232492188426676,-5.972698039001978,-5.245795350534877
2016-01-25,-2.253222960506751,-2.9163041337204376,-6.549033009339011,-6.0551134742766966,-4.556022605612786
2016-01-26,-2.4520036830474323,-2.984345715276271,-6.720960722059965,-7.26100965504628,-5.96153782223211
2016-01-27,-2.183808350507721,-2.9584891841096694,-5.330421046406697,-6.4664131192538,-5.225738607641128
2016-01-28,-2.032412877034895,-2.099590060979639,-6.180542866125338,-7.295089293927459,-5.057107276471584
2016-01-29,-1.15935730600224,-1.4123521615721724,-4.826135042472901,-6.010096134915976,-3.729620992794813
2016-02-01,0.9114653721199906,-0.35348813737099416,-3.6673737031581277,-4.51538965625603,-2.018503852565312
2016-02-02,0.4312936355436392,-0.3209725926968887,-2.738475197230905,-4.0559903508692425,-1.6154858529275118
2016-02-03,-0.5633506112839637,-0.621962552927191,-3.35313373347621,-5.610423958443911,-4.155854261295566
2016-02-04,-1.897879237291089,-0.4995480979685607,-3.4386779991125382,-4.719087205614258,-3.553829041523382
2016-02-05,-2.856481595119842,0.1898761978684549,-3.9091766545640727,-4.49031227507517,-3.812463979572589
2016-02-08,-2.7992750879983097,-0.17617443290895984,-4.281843942851937,-5.647674669388259,-5.4558922513192165
2016-02-09,-3.20069431743758,0.08585348215233157,-5.027166139925265,-5.003111428936757,-4.642346720277047
2016-02-10,-3.287154463211861,1.555017123636615,-4.681504536025127,-4.1191919630505165,-4.633467246554668
2016-02-11,-4.52748332257944,-0.03285856438336454,-5.231539816165565,-3.890655064660442,-4.238336517852215
2016-02-12,-4.294220303524366,-0.8784545664011212,-5.241847729814808,-3.025829759127585,-2.779127273205373
